Systematic Name,TPM Glucose,TPM YEP,TPM Galactose,TPM Glucose_2,TPM YEP_2,TPM Galactose_2
YNL270C,0.377319,3.35588,1.09998,0.60575,5.0562,1.61048
YNL271C,5.99425,4.47745,4.92496,6.23895,4.71719,6.88856
YNL272C,9.47708,8.65749,7.46665,11.3271,10.6798,11.6069
YNL273W,3.77019,3.3816,3.38138,3.39371,3.08341,3.43846
YNL274C,4.15965,30.208,10.3603,6.55754,48.5085,21.6212
YNL275W,5.25183,3.95801,4.09836,5.68486,3.72379,4.85721
YNL276C,4.24785,6.58629,5.61594,3.91278,4.75801,3.22732
YNL277W,6.31505,7.05339,6.05465,6.67651,8.03225,5.88358
YNL277W-A,20.7006,54.4197,34.6046,9.24401,50.1908,23.1808
YNL278W,2.71333,3.94429,4.50084,3.08065,3.6045,4.01882
YNL279W,1.46061,1.16358,1.10342,1.63701,1.24991,1.20586
YNL280C,33.5611,33.5758,27.0634,34.0987,33.2794,35.0522
YNL281W,202.16,94.9242,110.923,211.52,88.8067,111.497
YNL282W,18.1256,11.8944,14.4639,16.6247,11.3332,14.1918
YNL283C,14.054,14.7279,13.0665,12.7137,10.6202,13.3346
YNL284C,22.6494,56.9873,50.4051,22.6745,75.3516,50.8334
YNL284C-A,0.909496,0.427499,0.46398,1.07725,0.446331,0.80965
YNL284C-B,0.131324,0.0649993,0.0470725,0.156077,0.0396152,0.0799717
YNL285W,14.8819,17.6016,14.0024,15.2204,17.3243,17.7759
YNL286W,19.4544,16.9401,16.8424,18.5304,17.4687,20.593
YNL287W,39.158,26.7059,27.184,41.7135,30.254,37.0222
YNL288W,32.5436,19.5774,19.982,32.0442,19.0121,23.5298
YNL289W,20.4539,60.1379,19.3702,19.2059,45.7041,19.9193
YNL290W,32.7125,24.7851,25.069,31.434,24.8103,27.6961
YNL291C,8.68105,6.29639,6.47125,9.0677,6.2296,7.90799
YNL292W,35.8828,21.2082,24.1752,33.2196,20.8997,24.8548
YNL293W,6.14229,7.71422,4.53801,7.33226,9.73709,6.84525
YNL294C,13.3652,15.6796,10.4857,16.5219,19.508,16.4074
YNL295W,6.46892,10.673,8.5461,6.40106,11.2566,9.59777
YNL296W,2.11097,1.96328,1.82138,4.90487,4.10104,3.23833
YNL297C,5.43491,5.347,4.98136,5.75212,6.073,6.22824
YNL298W,11.1761,8.14366,8.13752,9.9914,7.13601,7.85976
YNL299W,13.0118,5.61159,7.68363,11.0752,6.26331,6.33696
YNL300W,192.077,225.734,206.614,149.642,150.97,191.794
YNL301C,350.809,161.86,168.71,329.571,133.108,156.946
YNL302C,1856.06,928.834,1094.53,1892.21,808.371,1100
YNL303W,23.2728,6.19626,8.48295,20.056,5.28462,6.52902
YNL304W,5.29549,5.14667,4.79789,5.28366,5.64389,5.56338
YNL305C,8.83031,28.6225,13.0675,14.0635,36.3579,24.8472
YNL306W,41.728,103.788,89.2608,39.3763,131.351,85.6956
YNL307C,66.2025,54.0079,49.2355,66.9193,66.7168,64.7596
YNL308C,79.3284,44.4023,51.1944,74.1746,37.3441,55.1926
YNL309W,7.93696,7.25657,6.46822,6.12099,5.80811,6.03042
YNL310C,22.9965,21.9719,19.7407,22.9171,20.4577,17.5263
YNL311C,7.17613,6.01334,6.28955,7.08236,6.2632,6.78857
YNL312W,31.4291,26.9931,25.448,30.0466,27.2741,28.4803
YNL313C,24.233,15.6162,16.2185,21.6965,15.1578,15.3307
YNL314W,7.90768,10.2473,7.0222,7.88209,10.376,9.71309
YNL315C,30.4156,56.4355,51.2249,27.7241,74.5595,50.4018
YNL316C,13.627,12.3182,11.9698,13.4544,12.7157,12.5726
YNL317W,11.7385,11.783,9.50312,11.0042,13.2422,11.3489
YNL318C,0.0366898,0.110327,0.0419453,0.0142259,0.125584,0.0485136
YNL319W,0.736027,0.808134,0.555003,0.313622,0.43472,0.47582
YNL320W,12.2871,12.4535,10.945,15.6042,15.1878,14.5668
YNL321W,7.25596,8.65639,6.43808,8.71514,9.42613,9.31597
YNL322C,45.5283,59.3605,43.7012,55.0845,55.5171,56.5453
YNL323W,15.3895,16.4057,12.5907,16.139,15.2952,16.17
YNL324W,0.540764,0.530894,0.461481,1.1658,1.43505,1.96946
YNL325C,3.11186,3.53145,3.08625,3.19849,4.5462,3.86531
YNL326C,8.94142,13.2303,9.80385,11.0612,14.691,13.7413
YNL327W,46.4085,32.7214,41.5594,60.3825,38.1247,67.5396
YNL328C,4.14801,3.90241,3.58499,4.86114,5.23995,6.40568
YNL329C,6.06489,8.29351,7.30331,5.33647,8.42204,8.23816
YNL330C,26.8434,29.0315,26.3097,27.1732,31.831,32.5067
YNL331C,4.67502,6.2695,5.40048,5.44844,6.79362,6.24322
YNL332W,0.863554,6.12017,1.71611,0.904369,5.09781,2.82422
YNL333W,4.12125,17.9914,11.2295,3.36887,20.1866,10.2143
YNL334C,4.68806,12.8834,9.0759,5.66926,11.812,11.5727
YNL335W,2.65294,9.72341,3.98509,2.65069,7.48052,4.01157
YNL336W,16.2876,24.7504,13.2632,25.9675,28.3679,25.284
YNL337W,0,0.129094,0.065498,0,0,0
